country,state,year,quarter,district_name,transaction_count,total_amount
india,andhra-pradesh,2018,Q2,visakhapatnam district,1641192,2987853607
india,andhra-pradesh,2018,Q2,prakasam district,739991,1571167562
india,andhra-pradesh,2018,Q2,anantapur district,937023,1690366079
india,andhra-pradesh,2018,Q2,ysr district,690842,1415500367
india,andhra-pradesh,2018,Q2,west godavari district,786033,1688025212
india,andhra-pradesh,2018,Q2,kurnool district,968439,1531888665
india,andhra-pradesh,2018,Q2,chittoor district,1185723,1990419125
india,andhra-pradesh,2018,Q2,guntur district,1088101,2108475811
india,andhra-pradesh,2018,Q2,krishna district,1224987,2448141593
india,andhra-pradesh,2018,Q3,east godavari district,3226907,3551247095
india,andhra-pradesh,2018,Q3,srikakulam district,1073883,1318322236
india,andhra-pradesh,2018,Q3,spsr nellore district,1308890,2215938596
india,andhra-pradesh,2018,Q3,vizianagaram district,970132,1163546006
india,andhra-pradesh,2018,Q3,visakhapatnam district,3394576,4821892253
india,andhra-pradesh,2018,Q3,prakasam district,1319651,2346453445
india,andhra-pradesh,2018,Q3,anantapur district,1815215,2681787750
india,andhra-pradesh,2018,Q3,ysr district,1557444,2235904512
india,andhra-pradesh,2018,Q3,west godavari district,1431282,2309078492
india,andhra-pradesh,2018,Q3,kurnool district,2921189,2908389261
india,andhra-pradesh,2018,Q3,chittoor district,2297429,3283517630
india,andhra-pradesh,2018,Q3,guntur district,1912529,3127764663
india,andhra-pradesh,2018,Q3,krishna district,2396934,3754202654
india,andhra-pradesh,2018,Q4,east godavari district,3052762,4652624623
india,andhra-pradesh,2018,Q4,srikakulam district,1252807,1870278609
india,andhra-pradesh,2018,Q4,spsr nellore district,1814997,3293448556
india,andhra-pradesh,2018,Q4,vizianagaram district,1386787,1817673252
india,andhra-pradesh,2018,Q4,visakhapatnam district,4791421,7366635864
india,andhra-pradesh,2018,Q4,prakasam district,1692862,3255254226
india,andhra-pradesh,2018,Q4,anantapur district,2286391,3975878156
india,andhra-pradesh,2018,Q4,ysr district,1732527,3252340063
india,andhra-pradesh,2018,Q4,west godavari district,1688482,3237504255
india,andhra-pradesh,2018,Q4,kurnool district,2508530,3626544852
india,andhra-pradesh,2018,Q4,chittoor district,3166201,4979093890
india,andhra-pradesh,2018,Q4,guntur district,2546620,4730251217
india,andhra-pradesh,2018,Q4,krishna district,2839161,5416251838
india,andhra-pradesh,2019,Q1,east godavari district,5440146,7382264724
india,andhra-pradesh,2019,Q1,srikakulam district,2526855,3407912878
india,andhra-pradesh,2019,Q1,spsr nellore district,3333584,5161932216
india,andhra-pradesh,2019,Q1,vizianagaram district,2798241,3364576948
india,andhra-pradesh,2019,Q1,visakhapatnam district,9690866,13459857440
india,andhra-pradesh,2019,Q1,prakasam district,2931081,4807527779
india,andhra-pradesh,2019,Q1,anantapur district,3891336,6044730653
india,andhra-pradesh,2019,Q1,ysr district,2852197,4915811593
india,andhra-pradesh,2019,Q1,west godavari district,2829437,4623764455
india,andhra-pradesh,2019,Q1,kurnool district,4193432,5541564892
india,andhra-pradesh,2019,Q1,chittoor district,6486813,8223371732
india,andhra-pradesh,2019,Q1,guntur district,4846553,7765934169
india,andhra-pradesh,2019,Q1,krishna district,5443981,9061346433
india,andhra-pradesh,2019,Q2,east godavari district,4699261,9116404622
india,andhra-pradesh,2019,Q2,srikakulam district,2019203,4066576539
india,andhra-pradesh,2019,Q2,spsr nellore district,3141891,6880873007
india,andhra-pradesh,2019,Q2,vizianagaram district,2272320,4443041665
india,andhra-pradesh,2019,Q2,visakhapatnam district,11705738,20797479804
india,andhra-pradesh,2019,Q2,prakasam district,2670529,6262396448
india,andhra-pradesh,2019,Q2,anantapur district,3578836,7830782361
india,andhra-pradesh,2019,Q2,ysr district,2606284,6376856828
india,andhra-pradesh,2019,Q2,west godavari district,2402074,5676818258
india,andhra-pradesh,2019,Q2,kurnool district,3895824,7358285187
india,andhra-pradesh,2019,Q2,chittoor district,5983308,10982727976
india,andhra-pradesh,2019,Q2,guntur district,5005275,10405246943
india,andhra-pradesh,2019,Q2,krishna district,6428472,13437029115
india,andhra-pradesh,2019,Q3,east godavari district,6537303,11387726470
india,andhra-pradesh,2019,Q3,srikakulam district,2556296,4610131289
india,andhra-pradesh,2019,Q3,spsr nellore district,4150195,8256600118
india,andhra-pradesh,2019,Q3,vizianagaram district,2861581,4922069039
india,andhra-pradesh,2019,Q3,visakhapatnam district,16694947,26944837120
india,andhra-pradesh,2019,Q3,prakasam district,3430750,7354502261
india,andhra-pradesh,2019,Q3,anantapur district,4889720,9554081289
india,andhra-pradesh,2019,Q3,ysr district,3296586,7447544274
india,andhra-pradesh,2019,Q3,west godavari district,3179541,6627629029
india,andhra-pradesh,2019,Q3,kurnool district,5139134,9025632779
india,andhra-pradesh,2019,Q3,chittoor district,8201783,13837455758
india,andhra-pradesh,2019,Q3,guntur district,6942304,13075661264
india,andhra-pradesh,2019,Q3,krishna district,8408474,16404073560
india,andhra-pradesh,2019,Q4,east godavari district,9285739,16816774065
india,andhra-pradesh,2019,Q4,srikakulam district,3712555,6832369301
india,andhra-pradesh,2019,Q4,spsr nellore district,5877804,11786014089
india,andhra-pradesh,2019,Q4,vizianagaram district,3998234,7175851807
india,andhra-pradesh,2019,Q4,visakhapatnam district,23594874,39133296330
india,andhra-pradesh,2019,Q4,prakasam district,4865473,10604077824
india,andhra-pradesh,2019,Q4,anantapur district,6764112,13887248889
india,andhra-pradesh,2019,Q4,ysr district,4793157,10865073855
india,andhra-pradesh,2019,Q4,west godavari district,4596479,9710614747
india,andhra-pradesh,2019,Q4,kurnool district,7001958,13233105728
india,andhra-pradesh,2019,Q4,chittoor district,11246986,19298476027
india,andhra-pradesh,2019,Q4,guntur district,9761330,18565626418
india,andhra-pradesh,2019,Q4,krishna district,11719402,23039786404
india,andhra-pradesh,2020,Q1,east godavari district,11346242,21854701379
india,andhra-pradesh,2020,Q1,srikakulam district,4835092,9777575594
india,andhra-pradesh,2020,Q1,spsr nellore district,7430247,15387829694
india,andhra-pradesh,2020,Q1,vizianagaram district,5042066,9879174240
india,andhra-pradesh,2020,Q1,visakhapatnam district,27115031,48809747614
india,andhra-pradesh,2020,Q1,prakasam district,6318396,14169104764
india,andhra-pradesh,2020,Q1,anantapur district,8466129,17864325752
india,andhra-pradesh,2020,Q1,ysr district,6031255,14059924636
india,andhra-pradesh,2020,Q1,west godavari district,5919670,12995834340
india,andhra-pradesh,2020,Q1,kurnool district,8246869,17022710311
india,andhra-pradesh,2020,Q1,chittoor district,13257740,23441848567
india,andhra-pradesh,2020,Q1,guntur district,11493331,22992734620
india,andhra-pradesh,2020,Q1,krishna district,12175289,24481702770
india,andhra-pradesh,2020,Q2,east godavari district,13130334,26319906327
india,andhra-pradesh,2020,Q2,srikakulam district,6425515,12153650076
india,andhra-pradesh,2020,Q2,spsr nellore district,9454274,20665376460
india,andhra-pradesh,2020,Q2,vizianagaram district,6690313,12819344389
india,andhra-pradesh,2020,Q2,visakhapatnam district,25300401,48293889917
india,andhra-pradesh,2020,Q2,prakasam district,8844580,19846026726
india,andhra-pradesh,2020,Q2,anantapur district,10473739,22094006659
india,andhra-pradesh,2020,Q2,ysr district,8033609,19597207268
india,andhra-pradesh,2020,Q2,west godavari district,7273096,16585866855
india,andhra-pradesh,2020,Q2,kurnool district,9821381,22419372061
india,andhra-pradesh,2020,Q2,chittoor district,14848197,27361300300
india,andhra-pradesh,2020,Q2,guntur district,12308707,27463593607
india,andhra-pradesh,2020,Q2,krishna district,12313709,26964149095
india,andhra-pradesh,2020,Q3,east godavari district,17972431,39300043804
india,andhra-pradesh,2020,Q3,srikakulam district,8286289,18029574581
india,andhra-pradesh,2020,Q3,spsr nellore district,16468209,39128324534
india,andhra-pradesh,2020,Q3,vizianagaram district,8236703,17567816576
india,andhra-pradesh,2020,Q3,visakhapatnam district,34421299,67628440368
india,andhra-pradesh,2020,Q3,prakasam district,12266310,31221704852
india,andhra-pradesh,2020,Q3,anantapur district,14447683,34102037972
india,andhra-pradesh,2020,Q3,ysr district,11934653,32037007334
india,andhra-pradesh,2020,Q3,west godavari district,10412351,25408608725
india,andhra-pradesh,2020,Q3,kurnool district,13243292,32529351107
india,andhra-pradesh,2020,Q3,chittoor district,20501863,42811566246
india,andhra-pradesh,2020,Q3,guntur district,17601395,42531195809
india,andhra-pradesh,2020,Q3,krishna district,19110457,44788458672
india,andhra-pradesh,2020,Q4,east godavari district,25989490,58732615663
india,andhra-pradesh,2020,Q4,srikakulam district,11092184,25222520275
india,andhra-pradesh,2020,Q4,spsr nellore district,20934374,49115443663
india,andhra-pradesh,2020,Q4,vizianagaram district,10580824,24094847668
india,andhra-pradesh,2020,Q4,visakhapatnam district,46551467,91879823025
india,andhra-pradesh,2020,Q4,prakasam district,16176867,41852443493
india,andhra-pradesh,2020,Q4,anantapur district,20996384,49732610814
india,andhra-pradesh,2020,Q4,ysr district,15676878,42572974713
india,andhra-pradesh,2020,Q4,west godavari district,15674762,40310975762
india,andhra-pradesh,2020,Q4,kurnool district,18737323,44718203115
india,andhra-pradesh,2020,Q4,chittoor district,29590411,61505711149
india,andhra-pradesh,2020,Q4,guntur district,26136538,60641872021
india,andhra-pradesh,2020,Q4,krishna district,27981050,64461504667
india,andhra-pradesh,2021,Q1,east godavari district,26190701,60027984987
india,andhra-pradesh,2021,Q1,srikakulam district,11160473,26486623313
india,andhra-pradesh,2021,Q1,spsr nellore district,22541428,52210333201
india,andhra-pradesh,2021,Q1,vizianagaram district,10514582,24153782497
india,andhra-pradesh,2021,Q1,visakhapatnam district,48248923,95308386037
india,andhra-pradesh,2021,Q1,prakasam district,15175395,41396223622
india,andhra-pradesh,2021,Q1,anantapur district,20102957,48353870395
india,andhra-pradesh,2021,Q1,ysr district,15374473,42570919448
india,andhra-pradesh,2021,Q1,west godavari district,16015685,42124030669
india,andhra-pradesh,2021,Q1,kurnool district,17918524,44941629659
india,andhra-pradesh,2021,Q1,chittoor district,29342609,60947491846
india,andhra-pradesh,2021,Q1,guntur district,27445045,64207987853
india,andhra-pradesh,2021,Q1,krishna district,29717175,69715406644
india,andhra-pradesh,2021,Q2,east godavari district,31717908,74604325863
india,andhra-pradesh,2021,Q2,srikakulam district,13546232,32298129544
india,andhra-pradesh,2021,Q2,spsr nellore district,30290406,72283071757
india,andhra-pradesh,2021,Q2,vizianagaram district,12689494,29140685236
india,andhra-pradesh,2021,Q2,visakhapatnam district,54390299,114439012713
india,andhra-pradesh,2021,Q2,prakasam district,19944047,54535328043
india,andhra-pradesh,2021,Q2,anantapur district,25123346,60987487571
india,andhra-pradesh,2021,Q2,ysr district,18457361,52523527031
india,andhra-pradesh,2021,Q2,west godavari district,20950964,57233116236
india,andhra-pradesh,2021,Q2,kurnool district,21972396,56659287474
india,andhra-pradesh,2021,Q2,chittoor district,34344902,73654690122
india,andhra-pradesh,2021,Q2,guntur district,32968819,82356914463
india,andhra-pradesh,2021,Q2,krishna district,36370960,90021923049
india,andhra-pradesh,2021,Q3,east godavari district,39572714,89380370072
india,andhra-pradesh,2021,Q3,srikakulam district,15639768,34836400769
india,andhra-pradesh,2021,Q3,spsr nellore district,34411958,77839676988
india,andhra-pradesh,2021,Q3,vizianagaram district,14510005,31383541628
india,andhra-pradesh,2021,Q3,visakhapatnam district,69220981,136945652159
india,andhra-pradesh,2021,Q3,prakasam district,24116580,63367713446
india,andhra-pradesh,2021,Q3,anantapur district,30366444,70291248155
india,andhra-pradesh,2021,Q3,ysr district,22439316,60683557724
india,andhra-pradesh,2021,Q3,west godavari district,26245039,66647238455
india,andhra-pradesh,2021,Q3,kurnool district,26377809,62527453761
india,andhra-pradesh,2021,Q3,chittoor district,42628568,89371931753
india,andhra-pradesh,2021,Q3,guntur district,41675093,96525353090
india,andhra-pradesh,2021,Q3,krishna district,44828275,104417897558
india,andhra-pradesh,2021,Q4,east godavari district,48992531,106725597026
india,andhra-pradesh,2021,Q4,srikakulam district,18501857,39713657870
india,andhra-pradesh,2021,Q4,spsr nellore district,41921081,92256405076
india,andhra-pradesh,2021,Q4,vizianagaram district,17253059,36577529464
india,andhra-pradesh,2021,Q4,visakhapatnam district,82711538,159530099772
india,andhra-pradesh,2021,Q4,prakasam district,27858275,71323060008
india,andhra-pradesh,2021,Q4,anantapur district,36129136,81239787006
india,andhra-pradesh,2021,Q4,ysr district,26340348,69081850069
india,andhra-pradesh,2021,Q4,west godavari district,33235175,81292461575
india,andhra-pradesh,2021,Q4,kurnool district,31782248,73968947669
india,andhra-pradesh,2021,Q4,chittoor district,51119640,103985734663
india,andhra-pradesh,2021,Q4,guntur district,50919286,115553993673
india,andhra-pradesh,2021,Q4,krishna district,55489829,125015323207
india,andhra-pradesh,2022,Q1,east godavari district,54738830,121067103712
india,andhra-pradesh,2022,Q1,srikakulam district,20990782,46898912115
india,andhra-pradesh,2022,Q1,spsr nellore district,47645702,104895571602
india,andhra-pradesh,2022,Q1,vizianagaram district,19278262,41994853361
india,andhra-pradesh,2022,Q1,visakhapatnam district,88233362,170120350591
india,andhra-pradesh,2022,Q1,prakasam district,31340975,79494373254
india,andhra-pradesh,2022,Q1,anantapur district,40613148,90197023268
india,andhra-pradesh,2022,Q1,ysr district,29783739,78421693518
india,andhra-pradesh,2022,Q1,west godavari district,37271259,92397939903
india,andhra-pradesh,2022,Q1,kurnool district,35093633,81568420500
india,andhra-pradesh,2022,Q1,chittoor district,58561024,117900595508
india,andhra-pradesh,2022,Q1,guntur district,57226996,129673727687
india,andhra-pradesh,2022,Q1,krishna district,61826199,139690081529
india,andhra-pradesh,2022,Q2,east godavari district,62072845,135531452997
india,andhra-pradesh,2022,Q2,srikakulam district,23727353,53754764122
india,andhra-pradesh,2022,Q2,spsr nellore district,54838708,121941082043
india,andhra-pradesh,2022,Q2,vizianagaram district,21766135,47294745020
india,andhra-pradesh,2022,Q2,visakhapatnam district,101387402,193242841582
india,andhra-pradesh,2022,Q2,prakasam district,36163507,90435082545
india,andhra-pradesh,2022,Q2,anantapur district,46099366,102138758015
india,andhra-pradesh,2022,Q2,ysr district,33154559,87601310069
india,andhra-pradesh,2022,Q2,west godavari district,44409239,107973244960
india,andhra-pradesh,2022,Q2,kurnool district,40165692,92409350855
india,andhra-pradesh,2022,Q2,chittoor district,67507661,136435445124
india,andhra-pradesh,2022,Q2,guntur district,66315749,147098141568
india,andhra-pradesh,2022,Q2,krishna district,73525814,163997729295
india,andhra-pradesh,2022,Q3,east godavari district,61467134,129677722169
india,andhra-pradesh,2022,Q3,srikakulam district,22126541,46899962921
india,andhra-pradesh,2022,Q3,spsr nellore district,42116582,95099325968
india,andhra-pradesh,2022,Q3,vizianagaram district,20440645,42513313394
india,andhra-pradesh,2022,Q3,visakhapatnam district,97434546,181124419863
india,andhra-pradesh,2022,Q3,prakasam district,35376080,87475230073
india,andhra-pradesh,2022,Q3,anantapur district,45165363,97735649608
india,andhra-pradesh,2022,Q3,ysr district,33119038,86016932181
india,andhra-pradesh,2022,Q3,west godavari district,43635951,101706854744
india,andhra-pradesh,2022,Q3,kurnool district,39557913,88415335176
india,andhra-pradesh,2022,Q3,chittoor district,65751781,133053581631
india,andhra-pradesh,2022,Q3,guntur district,65612317,141588522953
india,andhra-pradesh,2022,Q3,krishna district,71051144,153770559025
india,andhra-pradesh,2022,Q4,east godavari district,68016055,136531110139
india,andhra-pradesh,2022,Q4,srikakulam district,23693779,47726411107
india,andhra-pradesh,2022,Q4,spsr nellore district,42582064,92085916180
india,andhra-pradesh,2022,Q4,vizianagaram district,22205190,44467386404
india,andhra-pradesh,2022,Q4,visakhapatnam district,103790055,185306149744
india,andhra-pradesh,2022,Q4,prakasam district,37211077,88105031866
india,andhra-pradesh,2022,Q4,anantapur district,48299601,101533878537
india,andhra-pradesh,2022,Q4,ysr district,35201596,87360426792
india,andhra-pradesh,2022,Q4,west godavari district,47919930,105335724990
india,andhra-pradesh,2022,Q4,kurnool district,43524766,94667441029
india,andhra-pradesh,2022,Q4,chittoor district,70322534,136840859888
india,andhra-pradesh,2022,Q4,guntur district,70723763,146938735166
india,andhra-pradesh,2022,Q4,krishna district,76526667,157826011193
india,arunachal-pradesh,2018,Q1,lower dibang valley district,1356,1076236
india,arunachal-pradesh,2018,Q1,lower subansiri district,1477,3650727
india,arunachal-pradesh,2018,Q1,longding district,2321,4361531
india,arunachal-pradesh,2018,Q1,west siang district,1887,4796675
india,arunachal-pradesh,2018,Q1,kamle district,14,7971
india,arunachal-pradesh,2018,Q1,upper siang district,126,186610
india,arunachal-pradesh,2018,Q1,tirap district,945,1064265
india,arunachal-pradesh,2018,Q1,papum pare district,14224,32555848
india,arunachal-pradesh,2018,Q1,kurung kumey district,84,99416
india,arunachal-pradesh,2018,Q1,siang district,252,339471
india,arunachal-pradesh,2018,Q1,lower siang district,1292,2337960
india,arunachal-pradesh,2018,Q1,kra daadi district,207,495375
india,arunachal-pradesh,2018,Q1,changlang district,3195,5380749
india,arunachal-pradesh,2018,Q1,pakke kessang district,9,9131
india,arunachal-pradesh,2018,Q1,dibang valley district,2,169
india,arunachal-pradesh,2018,Q1,west kameng district,5787,9540632
india,arunachal-pradesh,2018,Q1,east siang district,3286,5533620
india,arunachal-pradesh,2018,Q1,upper subansiri district,735,1358367
india,arunachal-pradesh,2018,Q1,east kameng district,529,473824
india,arunachal-pradesh,2018,Q1,lohit district,3747,11496949
india,arunachal-pradesh,2018,Q1,lepa rada district,288,403149
india,arunachal-pradesh,2018,Q1,tawang district,2334,5055665
india,arunachal-pradesh,2018,Q1,namsai district,1400,2162984
india,arunachal-pradesh,2018,Q2,lower dibang valley district,1827,2561237
india,arunachal-pradesh,2018,Q2,lower subansiri district,1666,4113742
india,arunachal-pradesh,2018,Q2,longding district,4634,10271170
india,arunachal-pradesh,2018,Q2,west siang district,2579,7610989
india,arunachal-pradesh,2018,Q2,kamle district,12,23654
india,arunachal-pradesh,2018,Q2,upper siang district,240,494895
india,arunachal-pradesh,2018,Q2,tirap district,1903,3126393
india,arunachal-pradesh,2018,Q2,papum pare district,25363,66520931
india,arunachal-pradesh,2018,Q2,kurung kumey district,83,123737
india,arunachal-pradesh,2018,Q2,anjaw district,7,7871
india,arunachal-pradesh,2018,Q2,siang district,336,740232
india,arunachal-pradesh,2018,Q2,lower siang district,2292,2179451
india,arunachal-pradesh,2018,Q2,kra daadi district,247,987135
india,arunachal-pradesh,2018,Q2,changlang district,6066,13294258
india,arunachal-pradesh,2018,Q2,pakke kessang district,48,58359
india,arunachal-pradesh,2018,Q2,dibang valley district,68,65769
india,arunachal-pradesh,2018,Q2,west kameng district,10466,25521321
india,arunachal-pradesh,2018,Q2,east siang district,6363,15285584
india,arunachal-pradesh,2018,Q2,upper subansiri district,1285,2911910
india,arunachal-pradesh,2018,Q2,east kameng district,522,1825297
india,arunachal-pradesh,2018,Q2,lohit district,6962,20520618
india,arunachal-pradesh,2018,Q2,lepa rada district,511,731444
india,arunachal-pradesh,2018,Q2,tawang district,5447,13722374
