country,state,year,quarter,states,registered_users,apps_opened
india,bihar,2019,Q1,jamui district,70521,0
india,bihar,2019,Q1,sheikhpura district,29154,0
india,bihar,2019,Q1,siwan district,160063,0
india,bihar,2019,Q1,muzaffarpur district,309416,0
india,bihar,2019,Q1,patna district,964432,0
india,bihar,2019,Q1,jehanabad district,56497,0
india,bihar,2019,Q1,rohtas district,174877,0
india,bihar,2019,Q1,begusarai district,155497,0
india,bihar,2019,Q1,supaul district,86568,0
india,bihar,2019,Q1,sitamarhi district,132501,0
india,bihar,2019,Q1,saran district,197928,0
india,bihar,2019,Q1,arwal district,32098,0
india,bihar,2019,Q1,vaishali district,189344,0
india,bihar,2019,Q1,pashchim champaran district,197074,0
india,bihar,2019,Q1,gopalganj district,125180,0
india,bihar,2019,Q1,lakhisarai district,50294,0
india,bihar,2019,Q1,aurangabad district,123845,0
india,bihar,2019,Q1,kaimur bhabua district,66307,0
india,bihar,2019,Q1,araria district,95297,0
india,bihar,2019,Q1,munger district,84548,0
india,bihar,2019,Q1,katihar district,124680,0
india,bihar,2019,Q1,khagaria district,70139,0
india,bihar,2019,Q1,saharsa district,88171,0
india,bihar,2019,Q1,bhagalpur district,195057,0
india,bihar,2019,Q1,madhubani district,195036,0
india,bihar,2019,Q1,kishanganj district,54620,0
india,bihar,2019,Q1,gaya district,245773,0
india,bihar,2019,Q1,samastipur district,204544,0
india,bihar,2019,Q1,banka district,62041,0
india,bihar,2019,Q1,purbi champaran district,252394,0
india,bihar,2019,Q1,sheohar district,21941,0
india,bihar,2019,Q1,bhojpur district,143568,0
india,bihar,2019,Q2,madhepura district,88609,530739
india,bihar,2019,Q2,purnia district,163932,892348
india,bihar,2019,Q2,nalanda district,213733,1212543
india,bihar,2019,Q2,buxar district,93771,493509
india,bihar,2019,Q2,darbhanga district,232722,1420641
india,bihar,2019,Q2,nawada district,109523,581833
india,bihar,2019,Q2,jamui district,82317,441606
india,bihar,2019,Q2,sheikhpura district,33395,152708
india,bihar,2019,Q2,siwan district,187956,1155335
india,bihar,2019,Q2,muzaffarpur district,353459,2236848
india,bihar,2019,Q2,patna district,1076012,7177148
india,bihar,2019,Q2,jehanabad district,65200,393786
india,bihar,2019,Q2,rohtas district,199401,1187844
india,bihar,2019,Q2,begusarai district,177158,862354
india,bihar,2019,Q2,supaul district,100872,561171
india,bihar,2019,Q2,sitamarhi district,153456,899841
india,bihar,2019,Q2,saran district,230068,1466538
india,bihar,2019,Q2,arwal district,36841,225510
india,bihar,2019,Q2,vaishali district,218205,1414165
india,bihar,2019,Q2,pashchim champaran district,227901,1471945
india,bihar,2019,Q2,gopalganj district,147102,868936
india,bihar,2019,Q2,lakhisarai district,57386,292347
india,bihar,2019,Q2,aurangabad district,143325,880786
india,bihar,2019,Q2,kaimur bhabua district,76908,450417
india,bihar,2019,Q2,araria district,110811,590730
india,bihar,2019,Q2,munger district,96444,475070
india,bihar,2019,Q2,katihar district,145150,921533
india,bihar,2019,Q2,khagaria district,80553,456066
india,bihar,2019,Q2,saharsa district,102025,640510
india,bihar,2019,Q2,bhagalpur district,223725,1182355
india,bihar,2019,Q2,madhubani district,226202,1405773
india,bihar,2019,Q2,kishanganj district,64416,355348
india,bihar,2019,Q2,gaya district,281107,1670802
india,bihar,2019,Q2,samastipur district,234046,1381196
india,bihar,2019,Q2,banka district,72748,328378
india,bihar,2019,Q2,purbi champaran district,292711,1903455
india,bihar,2019,Q2,sheohar district,25323,142182
india,bihar,2019,Q2,bhojpur district,165246,882726
india,bihar,2019,Q3,madhepura district,99576,1649447
india,bihar,2019,Q3,purnia district,186139,3003347
india,bihar,2019,Q3,nalanda district,235028,3869133
india,bihar,2019,Q3,buxar district,104713,1381138
india,bihar,2019,Q3,darbhanga district,262421,4450914
india,bihar,2019,Q3,nawada district,123544,1773161
india,bihar,2019,Q3,jamui district,92936,1426569
india,bihar,2019,Q3,sheikhpura district,36997,457606
india,bihar,2019,Q3,siwan district,214406,3266902
india,bihar,2019,Q3,muzaffarpur district,396343,7217205
india,bihar,2019,Q3,patna district,1180262,25097249
india,bihar,2019,Q3,jehanabad district,72795,1204601
india,bihar,2019,Q3,rohtas district,220566,3486542
india,bihar,2019,Q3,begusarai district,198672,2675356
india,bihar,2019,Q3,supaul district,113711,1835527
india,bihar,2019,Q3,sitamarhi district,174814,2904366
india,bihar,2019,Q3,saran district,260966,4250077
india,bihar,2019,Q3,arwal district,40722,686243
india,bihar,2019,Q3,vaishali district,246527,4465824
india,bihar,2019,Q3,pashchim champaran district,256491,4618198
india,bihar,2019,Q3,gopalganj district,167773,2572232
india,bihar,2019,Q3,lakhisarai district,64084,932887
india,bihar,2019,Q3,aurangabad district,159363,2679481
india,bihar,2019,Q3,kaimur bhabua district,85406,1268624
india,bihar,2019,Q3,araria district,126320,1952983
india,bihar,2019,Q3,munger district,106801,1540247
india,bihar,2019,Q3,katihar district,165027,3026054
india,bihar,2019,Q3,khagaria district,90561,1428876
india,bihar,2019,Q3,saharsa district,114827,2024957
india,bihar,2019,Q3,bhagalpur district,249214,3694374
india,bihar,2019,Q3,madhubani district,255761,4258979
india,bihar,2019,Q3,kishanganj district,74150,1200959
india,bihar,2019,Q3,gaya district,315649,5823758
india,bihar,2019,Q3,samastipur district,262875,4222865
india,bihar,2019,Q3,banka district,81845,1053657
india,bihar,2019,Q3,purbi champaran district,330361,6045428
india,bihar,2019,Q3,sheohar district,28715,448740
india,bihar,2019,Q3,bhojpur district,183904,2626792
india,bihar,2019,Q4,madhepura district,114427,2217559
india,bihar,2019,Q4,purnia district,212909,3879038
india,bihar,2019,Q4,nalanda district,264967,6199933
india,bihar,2019,Q4,buxar district,118875,1990129
india,bihar,2019,Q4,darbhanga district,296008,5548769
india,bihar,2019,Q4,nawada district,141869,2563407
india,bihar,2019,Q4,jamui district,107471,2058854
india,bihar,2019,Q4,sheikhpura district,42414,681241
india,bihar,2019,Q4,siwan district,246717,4514176
india,bihar,2019,Q4,muzaffarpur district,445815,8979776
india,bihar,2019,Q4,patna district,1289426,28136743
india,bihar,2019,Q4,jehanabad district,82385,1679688
india,bihar,2019,Q4,rohtas district,249302,5302856
india,bihar,2019,Q4,begusarai district,225155,3614698
india,bihar,2019,Q4,supaul district,131141,2437455
india,bihar,2019,Q4,sitamarhi district,198607,3656303
india,bihar,2019,Q4,saran district,297022,5732765
india,bihar,2019,Q4,arwal district,46308,1039140
india,bihar,2019,Q4,vaishali district,279301,5797650
india,bihar,2019,Q4,pashchim champaran district,293867,6206175
india,bihar,2019,Q4,gopalganj district,193606,3437139
india,bihar,2019,Q4,lakhisarai district,72450,1364086
india,bihar,2019,Q4,aurangabad district,181920,3912616
india,bihar,2019,Q4,kaimur bhabua district,98191,1775789
india,bihar,2019,Q4,araria district,146219,2515080
india,bihar,2019,Q4,munger district,119068,1891588
india,bihar,2019,Q4,katihar district,188454,3793418
india,bihar,2019,Q4,khagaria district,102752,1853242
india,bihar,2019,Q4,saharsa district,130556,2638156
india,bihar,2019,Q4,bhagalpur district,279580,4685008
india,bihar,2019,Q4,madhubani district,291613,5699396
india,bihar,2019,Q4,kishanganj district,85906,1482740
india,bihar,2019,Q4,gaya district,356225,7476235
india,bihar,2019,Q4,samastipur district,297942,5514034
india,bihar,2019,Q4,banka district,94744,1436818
india,bihar,2019,Q4,purbi champaran district,378861,8038569
india,bihar,2019,Q4,sheohar district,32947,616145
india,bihar,2019,Q4,bhojpur district,207254,3631683
india,bihar,2020,Q1,madhepura district,131288,2779090
india,bihar,2020,Q1,purnia district,242090,4711378
india,bihar,2020,Q1,nalanda district,294598,5753080
india,bihar,2020,Q1,buxar district,133361,2220858
india,bihar,2020,Q1,darbhanga district,332707,6533155
india,bihar,2020,Q1,nawada district,161254,2976524
india,bihar,2020,Q1,jamui district,122675,2351813
india,bihar,2020,Q1,sheikhpura district,47727,748146
india,bihar,2020,Q1,siwan district,282776,5423334
india,bihar,2020,Q1,muzaffarpur district,498548,10158674
india,bihar,2020,Q1,patna district,1397342,29138373
india,bihar,2020,Q1,jehanabad district,92507,1843624
india,bihar,2020,Q1,rohtas district,278266,5408871
india,bihar,2020,Q1,begusarai district,251505,4096955
india,bihar,2020,Q1,supaul district,150088,3060872
india,bihar,2020,Q1,sitamarhi district,223782,4152826
india,bihar,2020,Q1,saran district,335039,6473239
india,bihar,2020,Q1,arwal district,51903,1056195
india,bihar,2020,Q1,vaishali district,312949,6407440
india,bihar,2020,Q1,pashchim champaran district,334931,7590869
india,bihar,2020,Q1,gopalganj district,221572,4126460
india,bihar,2020,Q1,lakhisarai district,80730,1474492
india,bihar,2020,Q1,aurangabad district,204230,4269640
india,bihar,2020,Q1,kaimur bhabua district,111817,2029554
india,bihar,2020,Q1,araria district,168149,3157208
india,bihar,2020,Q1,munger district,131943,2036068
india,bihar,2020,Q1,katihar district,213750,4464385
india,bihar,2020,Q1,khagaria district,115815,2170840
india,bihar,2020,Q1,saharsa district,147506,3103531
india,bihar,2020,Q1,bhagalpur district,311744,5153557
india,bihar,2020,Q1,madhubani district,328630,6746289
india,bihar,2020,Q1,kishanganj district,98189,1908388
india,bihar,2020,Q1,gaya district,398678,8034549
india,bihar,2020,Q1,samastipur district,334935,6379636
india,bihar,2020,Q1,banka district,108516,1666938
india,bihar,2020,Q1,purbi champaran district,431458,9507066
india,bihar,2020,Q1,sheohar district,37408,726329
india,bihar,2020,Q1,bhojpur district,230828,4028259
india,bihar,2020,Q2,madhepura district,154765,3831550
india,bihar,2020,Q2,purnia district,281699,5929070
india,bihar,2020,Q2,nalanda district,327783,6278040
india,bihar,2020,Q2,buxar district,151145,2794902
india,bihar,2020,Q2,darbhanga district,379555,8051713
india,bihar,2020,Q2,nawada district,185012,4166523
india,bihar,2020,Q2,jamui district,142370,3433879
india,bihar,2020,Q2,sheikhpura district,53713,987117
india,bihar,2020,Q2,siwan district,326411,6904372
india,bihar,2020,Q2,muzaffarpur district,558435,11414361
india,bihar,2020,Q2,patna district,1506233,21185780
india,bihar,2020,Q2,jehanabad district,104106,2249434
india,bihar,2020,Q2,rohtas district,312733,6510089
india,bihar,2020,Q2,begusarai district,283465,4933240
india,bihar,2020,Q2,supaul district,175307,4226761
india,bihar,2020,Q2,sitamarhi district,258640,5639909
india,bihar,2020,Q2,saran district,381281,8223024
india,bihar,2020,Q2,arwal district,58314,1394175
india,bihar,2020,Q2,vaishali district,352264,7673393
india,bihar,2020,Q2,pashchim champaran district,390547,10431882
india,bihar,2020,Q2,gopalganj district,256062,5444977
india,bihar,2020,Q2,lakhisarai district,90861,1839333
india,bihar,2020,Q2,aurangabad district,231576,5521863
india,bihar,2020,Q2,kaimur bhabua district,127488,2737826
india,bihar,2020,Q2,araria district,200228,4594095
india,bihar,2020,Q2,munger district,147614,2563453
india,bihar,2020,Q2,katihar district,246198,5808659
india,bihar,2020,Q2,khagaria district,133468,2965625
india,bihar,2020,Q2,saharsa district,169301,3955142
india,bihar,2020,Q2,bhagalpur district,352316,5885125
india,bihar,2020,Q2,madhubani district,379217,9347264
india,bihar,2020,Q2,kishanganj district,118814,2695292
india,bihar,2020,Q2,gaya district,447895,9377480
india,bihar,2020,Q2,samastipur district,381913,7978388
india,bihar,2020,Q2,banka district,128702,2622435
india,bihar,2020,Q2,purbi champaran district,505364,12929613
india,bihar,2020,Q2,sheohar district,43417,1041641
india,bihar,2020,Q2,bhojpur district,259555,4867610
india,bihar,2020,Q3,madhepura district,174888,4332368
india,bihar,2020,Q3,purnia district,316746,7186535
india,bihar,2020,Q3,nalanda district,361391,7732751
india,bihar,2020,Q3,buxar district,167059,3285441
india,bihar,2020,Q3,darbhanga district,424611,10414880
india,bihar,2020,Q3,nawada district,206562,4721198
india,bihar,2020,Q3,jamui district,158308,3814872
india,bihar,2020,Q3,sheikhpura district,60415,1213708
india,bihar,2020,Q3,siwan district,367414,8688138
india,bihar,2020,Q3,muzaffarpur district,617383,14800377
india,bihar,2020,Q3,patna district,1625305,29504381
india,bihar,2020,Q3,jehanabad district,115993,2663168
india,bihar,2020,Q3,rohtas district,343921,7658066
india,bihar,2020,Q3,begusarai district,313772,6181347
india,bihar,2020,Q3,supaul district,196807,4727298
india,bihar,2020,Q3,sitamarhi district,289710,6789210
india,bihar,2020,Q3,saran district,424821,10052024
india,bihar,2020,Q3,arwal district,64808,1650864
india,bihar,2020,Q3,vaishali district,391002,9651945
india,bihar,2020,Q3,pashchim champaran district,435319,11415211
india,bihar,2020,Q3,gopalganj district,287552,6623470
india,bihar,2020,Q3,lakhisarai district,100204,2261382
india,bihar,2020,Q3,aurangabad district,256224,6482515
india,bihar,2020,Q3,kaimur bhabua district,141417,3032445
india,bihar,2020,Q3,araria district,228565,5183545
india,bihar,2020,Q3,munger district,161775,3168349
india,bihar,2020,Q3,katihar district,275202,6775572
india,bihar,2020,Q3,khagaria district,149059,3536206
india,bihar,2020,Q3,saharsa district,189601,4790580
india,bihar,2020,Q3,bhagalpur district,390116,7283987
india,bihar,2020,Q3,madhubani district,425154,11641778
india,bihar,2020,Q3,kishanganj district,134304,3023513
india,bihar,2020,Q3,gaya district,493207,11314373
india,bihar,2020,Q3,samastipur district,424696,9730058
india,bihar,2020,Q3,banka district,144279,2875136
india,bihar,2020,Q3,purbi champaran district,570592,15404931
india,bihar,2020,Q3,sheohar district,48874,1241754
india,bihar,2020,Q3,bhojpur district,286157,5799268
india,bihar,2020,Q4,madhepura district,193410,4831123
india,bihar,2020,Q4,purnia district,349571,8504022
india,bihar,2020,Q4,nalanda district,395006,9054158
india,bihar,2020,Q4,buxar district,183347,3876799
india,bihar,2020,Q4,darbhanga district,467317,12308124
india,bihar,2020,Q4,nawada district,227399,5318433
india,bihar,2020,Q4,jamui district,173812,4195684
india,bihar,2020,Q4,sheikhpura district,66571,1332232
india,bihar,2020,Q4,siwan district,408372,10923309
india,bihar,2020,Q4,muzaffarpur district,673397,17639241
india,bihar,2020,Q4,patna district,1752007,40115277
india,bihar,2020,Q4,jehanabad district,126924,3102482
india,bihar,2020,Q4,rohtas district,374596,8824562
india,bihar,2020,Q4,begusarai district,345027,7532475
india,bihar,2020,Q4,supaul district,216867,5215983
india,bihar,2020,Q4,sitamarhi district,318599,7464589
india,bihar,2020,Q4,saran district,467918,12501600
india,bihar,2020,Q4,arwal district,71027,1828035
india,bihar,2020,Q4,vaishali district,428039,11214166
india,bihar,2020,Q4,pashchim champaran district,476717,12832884
india,bihar,2020,Q4,gopalganj district,319052,8137685
india,bihar,2020,Q4,lakhisarai district,109424,2609865
india,bihar,2020,Q4,aurangabad district,280479,7478178
india,bihar,2020,Q4,kaimur bhabua district,153839,3208221
india,bihar,2020,Q4,araria district,254605,5957541
india,bihar,2020,Q4,munger district,176482,3827248
india,bihar,2020,Q4,katihar district,302845,7936851
india,bihar,2020,Q4,khagaria district,164654,4281955
india,bihar,2020,Q4,saharsa district,209020,5524808
india,bihar,2020,Q4,bhagalpur district,428157,9023852
india,bihar,2020,Q4,madhubani district,467849,13216505
india,bihar,2020,Q4,kishanganj district,148938,3367157
india,bihar,2020,Q4,gaya district,538319,13530398
india,bihar,2020,Q4,samastipur district,466536,11579891
india,bihar,2020,Q4,banka district,159221,3085551
india,bihar,2020,Q4,purbi champaran district,627214,17365891
india,bihar,2020,Q4,sheohar district,54013,1335271
india,bihar,2020,Q4,bhojpur district,313263,6974554
india,bihar,2021,Q1,madhepura district,210098,5733055
india,bihar,2021,Q1,purnia district,378977,9959158
india,bihar,2021,Q1,nalanda district,426419,9874574
india,bihar,2021,Q1,buxar district,198162,4019635
india,bihar,2021,Q1,darbhanga district,506381,13818215
india,bihar,2021,Q1,nawada district,246611,5920314
india,bihar,2021,Q1,jamui district,188350,4697229
india,bihar,2021,Q1,sheikhpura district,72003,1414389
india,bihar,2021,Q1,siwan district,444057,11680516
india,bihar,2021,Q1,muzaffarpur district,728384,19666044
india,bihar,2021,Q1,patna district,1881439,47764472
india,bihar,2021,Q1,jehanabad district,137074,3267649
india,bihar,2021,Q1,rohtas district,404078,9482678
india,bihar,2021,Q1,begusarai district,373508,8444119
india,bihar,2021,Q1,supaul district,235215,6222688
india,bihar,2021,Q1,sitamarhi district,346031,8319923
india,bihar,2021,Q1,saran district,507177,13238238
india,bihar,2021,Q1,arwal district,76552,1906173
india,bihar,2021,Q1,vaishali district,463655,12207307
india,bihar,2021,Q1,pashchim champaran district,517219,14874230
india,bihar,2021,Q1,gopalganj district,346929,8794900
india,bihar,2021,Q1,lakhisarai district,118141,2781792
india,bihar,2021,Q1,aurangabad district,303541,8312272
india,bihar,2021,Q1,kaimur bhabua district,166313,3499932
india,bihar,2021,Q1,araria district,276798,7141525
india,bihar,2021,Q1,munger district,190196,4044233
india,bihar,2021,Q1,katihar district,328252,9357558
india,bihar,2021,Q1,khagaria district,178859,4898855
india,bihar,2021,Q1,saharsa district,226755,6552751
india,bihar,2021,Q1,bhagalpur district,462764,10257098
india,bihar,2021,Q1,madhubani district,506293,14033961
india,bihar,2021,Q1,kishanganj district,161635,4008897
india,bihar,2021,Q1,gaya district,581376,15207460
india,bihar,2021,Q1,samastipur district,505806,12818876
india,bihar,2021,Q1,banka district,172220,3321178
india,bihar,2021,Q1,purbi champaran district,681660,19530766
india,bihar,2021,Q1,sheohar district,58746,1479515
india,bihar,2021,Q1,bhojpur district,338614,7240433
india,bihar,2021,Q2,madhepura district,225631,6098073
india,bihar,2021,Q2,purnia district,407327,11452485
india,bihar,2021,Q2,nalanda district,457143,9781814
india,bihar,2021,Q2,buxar district,212916,4884682
india,bihar,2021,Q2,darbhanga district,543496,13535399
india,bihar,2021,Q2,nawada district,264993,7631616
india,bihar,2021,Q2,jamui district,202627,7604897
india,bihar,2021,Q2,sheikhpura district,77323,1765795
india,bihar,2021,Q2,siwan district,476870,11554566
india,bihar,2021,Q2,muzaffarpur district,781251,17402981
india,bihar,2021,Q2,patna district,2010353,31047869
india,bihar,2021,Q2,jehanabad district,147027,3636758
india,bihar,2021,Q2,rohtas district,433856,11238005
india,bihar,2021,Q2,begusarai district,400750,8533638
india,bihar,2021,Q2,supaul district,252844,7689997
india,bihar,2021,Q2,sitamarhi district,372211,9148788
india,bihar,2021,Q2,saran district,544975,13189206
india,bihar,2021,Q2,arwal district,82232,2240595
india,bihar,2021,Q2,vaishali district,497933,11209569
india,bihar,2021,Q2,pashchim champaran district,556408,17174254
india,bihar,2021,Q2,gopalganj district,372691,9392913
india,bihar,2021,Q2,lakhisarai district,126770,3347282
india,bihar,2021,Q2,aurangabad district,326548,11429194
india,bihar,2021,Q2,kaimur bhabua district,179008,5583876
india,bihar,2021,Q2,araria district,297709,9439160
india,bihar,2021,Q2,munger district,203824,4191352
india,bihar,2021,Q2,katihar district,353303,10868200
india,bihar,2021,Q2,khagaria district,192428,5916120
india,bihar,2021,Q2,saharsa district,243572,7113137
india,bihar,2021,Q2,bhagalpur district,496135,9593627
india,bihar,2021,Q2,madhubani district,543493,15459649
india,bihar,2021,Q2,kishanganj district,174209,5740581
india,bihar,2021,Q2,gaya district,624010,17754295
india,bihar,2021,Q2,samastipur district,543782,12581028
india,bihar,2021,Q2,banka district,185539,6393589
india,bihar,2021,Q2,purbi champaran district,733817,20204379
india,bihar,2021,Q2,sheohar district,63289,1745845
india,bihar,2021,Q2,bhojpur district,363841,7623446
india,bihar,2021,Q3,madhepura district,244216,7179146
india,bihar,2021,Q3,purnia district,440447,14245246
india,bihar,2021,Q3,nalanda district,492998,10964467
india,bihar,2021,Q3,buxar district,230171,5045192
india,bihar,2021,Q3,darbhanga district,586251,15207842
india,bihar,2021,Q3,nawada district,286524,8022119
india,bihar,2021,Q3,jamui district,219468,8355425
india,bihar,2021,Q3,sheikhpura district,83526,1880309
india,bihar,2021,Q3,siwan district,514727,12380428
india,bihar,2021,Q3,muzaffarpur district,842701,20014713
india,bihar,2021,Q3,patna district,2156402,43378051
india,bihar,2021,Q3,jehanabad district,158603,4051354
india,bihar,2021,Q3,rohtas district,468953,12405207
india,bihar,2021,Q3,begusarai district,432035,10042118
india,bihar,2021,Q3,supaul district,273337,8972152
india,bihar,2021,Q3,sitamarhi district,402641,9677557
india,bihar,2021,Q3,saran district,588276,13924564
india,bihar,2021,Q3,arwal district,88938,2204921
india,bihar,2021,Q3,vaishali district,536933,12338903
india,bihar,2021,Q3,pashchim champaran district,602251,19035099
india,bihar,2021,Q3,gopalganj district,402719,10121489
india,bihar,2021,Q3,lakhisarai district,136992,3739789
india,bihar,2021,Q3,aurangabad district,353208,11946834
india,bihar,2021,Q3,kaimur bhabua district,193984,5797640
india,bihar,2021,Q3,araria district,322491,11108346
india,bihar,2021,Q3,munger district,219691,4667697
india,bihar,2021,Q3,katihar district,382183,12315161
india,bihar,2021,Q3,khagaria district,208396,6552258
india,bihar,2021,Q3,saharsa district,263226,8287766
india,bihar,2021,Q3,bhagalpur district,534600,11361635
india,bihar,2021,Q3,madhubani district,587337,16079472
india,bihar,2021,Q3,kishanganj district,188986,6967804
india,bihar,2021,Q3,gaya district,673356,20242649
india,bihar,2021,Q3,samastipur district,586990,13912525
india,bihar,2021,Q3,banka district,201221,6967924
india,bihar,2021,Q3,purbi champaran district,794120,22500338
india,bihar,2021,Q3,sheohar district,68582,1866229
india,bihar,2021,Q3,bhojpur district,393291,8041010
india,bihar,2021,Q4,madhepura district,262206,10402002
india,bihar,2021,Q4,purnia district,472750,19907962
india,bihar,2021,Q4,nalanda district,528281,15223943
india,bihar,2021,Q4,buxar district,247005,7400896
india,bihar,2021,Q4,darbhanga district,628529,25312106
india,bihar,2021,Q4,nawada district,307666,10568023
india,bihar,2021,Q4,jamui district,235801,9383204
india,bihar,2021,Q4,sheikhpura district,89702,2540493
india,bihar,2021,Q4,siwan district,552651,24348910
india,bihar,2021,Q4,muzaffarpur district,903775,36050072
india,bihar,2021,Q4,patna district,2303852,69546634
india,bihar,2021,Q4,jehanabad district,170164,5595078
india,bihar,2021,Q4,rohtas district,503828,17122315
india,bihar,2021,Q4,begusarai district,463557,15751510
india,bihar,2021,Q4,supaul district,293225,11472917
india,bihar,2021,Q4,sitamarhi district,432514,15814002
india,bihar,2021,Q4,saran district,631469,25767453
india,bihar,2021,Q4,arwal district,95398,3126382
india,bihar,2021,Q4,vaishali district,576156,22911298
india,bihar,2021,Q4,pashchim champaran district,647450,28841290
india,bihar,2021,Q4,gopalganj district,432546,18206196
india,bihar,2021,Q4,lakhisarai district,146950,4888202
india,bihar,2021,Q4,aurangabad district,379357,15198813
india,bihar,2021,Q4,kaimur bhabua district,208596,6645159
india,bihar,2021,Q4,araria district,346285,14269965
india,bihar,2021,Q4,munger district,235246,7353987
india,bihar,2021,Q4,katihar district,410498,18358609
india,bihar,2021,Q4,khagaria district,224050,8252861
india,bihar,2021,Q4,saharsa district,282456,11592957
india,bihar,2021,Q4,bhagalpur district,573035,17844987
india,bihar,2021,Q4,madhubani district,629986,26796754
india,bihar,2021,Q4,kishanganj district,202863,8182123
india,bihar,2021,Q4,gaya district,721905,27405704
india,bihar,2021,Q4,samastipur district,630218,24109034
india,bihar,2021,Q4,banka district,216263,6644455
india,bihar,2021,Q4,purbi champaran district,853893,38615069
india,bihar,2021,Q4,sheohar district,73732,3184802
india,bihar,2021,Q4,bhojpur district,422123,12764671
india,bihar,2022,Q1,madhepura district,280094,5631100
india,bihar,2022,Q1,purnia district,504801,13394323
india,bihar,2022,Q1,nalanda district,563049,6429261
india,bihar,2022,Q1,buxar district,263663,4013615
india,bihar,2022,Q1,darbhanga district,669850,8376582
india,bihar,2022,Q1,nawada district,328635,7249380
india,bihar,2022,Q1,jamui district,252094,12753539
india,bihar,2022,Q1,sheikhpura district,95718,1962184
india,bihar,2022,Q1,siwan district,589829,6109801
india,bihar,2022,Q1,muzaffarpur district,962924,10684936
india,bihar,2022,Q1,patna district,2443356,16131828
india,bihar,2022,Q1,jehanabad district,181455,2562072
india,bihar,2022,Q1,rohtas district,537701,10913805
india,bihar,2022,Q1,begusarai district,493845,6652256
india,bihar,2022,Q1,supaul district,313291,8832097
india,bihar,2022,Q1,sitamarhi district,461979,6415453
india,bihar,2022,Q1,saran district,673849,8000740
india,bihar,2022,Q1,arwal district,101813,1461593
india,bihar,2022,Q1,vaishali district,614159,5793084
india,bihar,2022,Q1,pashchim champaran district,692182,17528649
india,bihar,2022,Q1,gopalganj district,461794,5928935
india,bihar,2022,Q1,lakhisarai district,156781,3371253
india,bihar,2022,Q1,aurangabad district,405254,13452704
india,bihar,2022,Q1,kaimur bhabua district,223072,6887444
india,bihar,2022,Q1,araria district,370029,11889342
india,bihar,2022,Q1,munger district,250357,3394719
india,bihar,2022,Q1,katihar district,438584,12011467
india,bihar,2022,Q1,khagaria district,239286,6257649
india,bihar,2022,Q1,saharsa district,301372,6799845
india,bihar,2022,Q1,bhagalpur district,610174,7091019
india,bihar,2022,Q1,madhubani district,672303,11335634
india,bihar,2022,Q1,kishanganj district,216915,8983771
india,bihar,2022,Q1,gaya district,769265,19954254
india,bihar,2022,Q1,samastipur district,672508,8256538
india,bihar,2022,Q1,banka district,231228,10552229
india,bihar,2022,Q1,purbi champaran district,912427,13051699
india,bihar,2022,Q1,sheohar district,78832,1090835
india,bihar,2022,Q1,bhojpur district,450190,5785964
india,bihar,2022,Q2,madhepura district,296711,6048349
india,bihar,2022,Q2,purnia district,534713,15748261
india,bihar,2022,Q2,nalanda district,595960,7175402
india,bihar,2022,Q2,buxar district,279169,4657169
india,bihar,2022,Q2,darbhanga district,708828,8695015
india,bihar,2022,Q2,nawada district,348128,9106459
india,bihar,2022,Q2,jamui district,267040,15353736
india,bihar,2022,Q2,sheikhpura district,101333,2534607
india,bihar,2022,Q2,siwan district,625266,6287087
india,bihar,2022,Q2,muzaffarpur district,1018560,10556362
india,bihar,2022,Q2,patna district,2577123,15545639
india,bihar,2022,Q2,jehanabad district,192101,3125099
india,bihar,2022,Q2,rohtas district,569818,11734606
india,bihar,2022,Q2,begusarai district,522522,7676043
india,bihar,2022,Q2,supaul district,331990,9364630
india,bihar,2022,Q2,sitamarhi district,489836,6910218
india,bihar,2022,Q2,saran district,714109,7698357
india,bihar,2022,Q2,arwal district,108033,1350947
india,bihar,2022,Q2,vaishali district,650319,5971589
india,bihar,2022,Q2,pashchim champaran district,734476,18284568
india,bihar,2022,Q2,gopalganj district,489448,6461756
india,bihar,2022,Q2,lakhisarai district,165876,3978621
india,bihar,2022,Q2,aurangabad district,429493,14606052
india,bihar,2022,Q2,kaimur bhabua district,236482,8031560
india,bihar,2022,Q2,araria district,392076,13402058
india,bihar,2022,Q2,munger district,264683,3322251
india,bihar,2022,Q2,katihar district,464782,13185680
india,bihar,2022,Q2,khagaria district,253856,7346984
india,bihar,2022,Q2,saharsa district,319345,8124445
india,bihar,2022,Q2,bhagalpur district,645479,8167048
india,bihar,2022,Q2,madhubani district,711897,11801738
india,bihar,2022,Q2,kishanganj district,229908,8860529
india,bihar,2022,Q2,gaya district,814180,22949318
india,bihar,2022,Q2,samastipur district,712626,9290605
india,bihar,2022,Q2,banka district,245267,13631840
india,bihar,2022,Q2,purbi champaran district,967838,13811656
india,bihar,2022,Q2,sheohar district,83701,1159293
india,bihar,2022,Q2,bhojpur district,476922,6632861
india,bihar,2022,Q3,madhepura district,313960,5886305
india,bihar,2022,Q3,purnia district,565515,17265639
india,bihar,2022,Q3,nalanda district,629780,7753374
india,bihar,2022,Q3,buxar district,295108,4551340
india,bihar,2022,Q3,darbhanga district,749430,7569101
india,bihar,2022,Q3,nawada district,368086,8056207
india,bihar,2022,Q3,jamui district,282221,16122651
india,bihar,2022,Q3,sheikhpura district,107101,2666151
india,bihar,2022,Q3,siwan district,662330,4771874
india,bihar,2022,Q3,muzaffarpur district,1077200,9753785
