country,state,year,quarter,states,registered_users,apps_opened
india,andhra-pradesh,2018,Q2,spsr nellore district,261049,0
india,andhra-pradesh,2018,Q2,vizianagaram district,167327,0
india,andhra-pradesh,2018,Q2,ysr district,248657,0
india,andhra-pradesh,2018,Q2,west godavari district,282393,0
india,andhra-pradesh,2018,Q2,chittoor district,414306,0
india,andhra-pradesh,2018,Q3,east godavari district,558982,0
india,andhra-pradesh,2018,Q3,srikakulam district,228456,0
india,andhra-pradesh,2018,Q3,visakhapatnam district,769096,0
india,andhra-pradesh,2018,Q3,prakasam district,314899,0
india,andhra-pradesh,2018,Q3,anantapur district,405855,0
india,andhra-pradesh,2018,Q3,kurnool district,394311,0
india,andhra-pradesh,2018,Q3,guntur district,518931,0
india,andhra-pradesh,2018,Q3,krishna district,537086,0
india,andhra-pradesh,2018,Q3,spsr nellore district,322446,0
india,andhra-pradesh,2018,Q3,vizianagaram district,203655,0
india,andhra-pradesh,2018,Q3,ysr district,308391,0
india,andhra-pradesh,2018,Q3,west godavari district,349782,0
india,andhra-pradesh,2018,Q3,chittoor district,515727,0
india,andhra-pradesh,2018,Q4,east godavari district,694455,0
india,andhra-pradesh,2018,Q4,srikakulam district,284874,0
india,andhra-pradesh,2018,Q4,visakhapatnam district,978288,0
india,andhra-pradesh,2018,Q4,prakasam district,394962,0
india,andhra-pradesh,2018,Q4,anantapur district,510892,0
india,andhra-pradesh,2018,Q4,kurnool district,498582,0
india,andhra-pradesh,2018,Q4,guntur district,659552,0
india,andhra-pradesh,2018,Q4,krishna district,682479,0
india,andhra-pradesh,2018,Q4,spsr nellore district,407495,0
india,andhra-pradesh,2018,Q4,vizianagaram district,257824,0
india,andhra-pradesh,2018,Q4,ysr district,387058,0
india,andhra-pradesh,2018,Q4,west godavari district,435668,0
india,andhra-pradesh,2018,Q4,chittoor district,665280,0
india,andhra-pradesh,2019,Q1,east godavari district,839277,0
india,andhra-pradesh,2019,Q1,srikakulam district,345775,0
india,andhra-pradesh,2019,Q1,visakhapatnam district,1174517,0
india,andhra-pradesh,2019,Q1,prakasam district,474260,0
india,andhra-pradesh,2019,Q1,anantapur district,612162,0
india,andhra-pradesh,2019,Q1,kurnool district,599422,0
india,andhra-pradesh,2019,Q1,guntur district,802394,0
india,andhra-pradesh,2019,Q1,krishna district,833694,0
india,andhra-pradesh,2019,Q1,spsr nellore district,491908,0
india,andhra-pradesh,2019,Q1,vizianagaram district,313334,0
india,andhra-pradesh,2019,Q1,ysr district,460590,0
india,andhra-pradesh,2019,Q1,west godavari district,523372,0
india,andhra-pradesh,2019,Q1,chittoor district,812314,0
india,andhra-pradesh,2019,Q2,east godavari district,945181,7156762
india,andhra-pradesh,2019,Q2,srikakulam district,392764,3230330
india,andhra-pradesh,2019,Q2,visakhapatnam district,1318740,13681907
india,andhra-pradesh,2019,Q2,prakasam district,539462,4488365
india,andhra-pradesh,2019,Q2,anantapur district,695114,6056591
india,andhra-pradesh,2019,Q2,kurnool district,680118,6240480
india,andhra-pradesh,2019,Q2,guntur district,915256,7268875
india,andhra-pradesh,2019,Q2,krishna district,952300,7822632
india,andhra-pradesh,2019,Q2,spsr nellore district,558303,4774473
india,andhra-pradesh,2019,Q2,vizianagaram district,355058,3541678
india,andhra-pradesh,2019,Q2,ysr district,519031,4345848
india,andhra-pradesh,2019,Q2,west godavari district,592185,3853094
india,andhra-pradesh,2019,Q2,chittoor district,925491,8914216
india,andhra-pradesh,2019,Q3,east godavari district,1057167,28275322
india,andhra-pradesh,2019,Q3,srikakulam district,437939,11813195
india,andhra-pradesh,2019,Q3,visakhapatnam district,1460464,54836001
india,andhra-pradesh,2019,Q3,prakasam district,598568,16267041
india,andhra-pradesh,2019,Q3,anantapur district,773656,22845084
india,andhra-pradesh,2019,Q3,kurnool district,755024,22827473
india,andhra-pradesh,2019,Q3,guntur district,1026418,28477132
india,andhra-pradesh,2019,Q3,krishna district,1066546,30077671
india,andhra-pradesh,2019,Q3,spsr nellore district,619592,17768733
india,andhra-pradesh,2019,Q3,vizianagaram district,394375,13065845
india,andhra-pradesh,2019,Q3,ysr district,574109,15833900
india,andhra-pradesh,2019,Q3,west godavari district,662102,14227407
india,andhra-pradesh,2019,Q3,chittoor district,1032733,34638738
india,andhra-pradesh,2019,Q4,east godavari district,1195228,38299189
india,andhra-pradesh,2019,Q4,srikakulam district,496266,16353822
india,andhra-pradesh,2019,Q4,visakhapatnam district,1620235,70749983
india,andhra-pradesh,2019,Q4,prakasam district,673522,21639748
india,andhra-pradesh,2019,Q4,anantapur district,873033,30278539
india,andhra-pradesh,2019,Q4,kurnool district,846885,29676997
india,andhra-pradesh,2019,Q4,guntur district,1158708,37846179
india,andhra-pradesh,2019,Q4,krishna district,1199971,39407473
india,andhra-pradesh,2019,Q4,spsr nellore district,697154,23608360
india,andhra-pradesh,2019,Q4,vizianagaram district,443810,17515311
india,andhra-pradesh,2019,Q4,ysr district,646642,21543798
india,andhra-pradesh,2019,Q4,west godavari district,750078,19393528
india,andhra-pradesh,2019,Q4,chittoor district,1156351,44888591
india,andhra-pradesh,2020,Q1,east godavari district,1329664,46142746
india,andhra-pradesh,2020,Q1,srikakulam district,552007,20975989
india,andhra-pradesh,2020,Q1,visakhapatnam district,1763581,77558624
india,andhra-pradesh,2020,Q1,prakasam district,748655,26870693
india,andhra-pradesh,2020,Q1,anantapur district,971850,36900103
india,andhra-pradesh,2020,Q1,kurnool district,936293,34198350
india,andhra-pradesh,2020,Q1,guntur district,1289678,45282758
india,andhra-pradesh,2020,Q1,krishna district,1331602,46079408
india,andhra-pradesh,2020,Q1,spsr nellore district,775440,28879364
india,andhra-pradesh,2020,Q1,vizianagaram district,490683,21562104
india,andhra-pradesh,2020,Q1,ysr district,717865,26166193
india,andhra-pradesh,2020,Q1,west godavari district,843835,24542868
india,andhra-pradesh,2020,Q1,chittoor district,1270907,51354573
india,andhra-pradesh,2020,Q2,east godavari district,1459116,45884498
india,andhra-pradesh,2020,Q2,srikakulam district,608002,23808009
india,andhra-pradesh,2020,Q2,visakhapatnam district,1904719,69684456
india,andhra-pradesh,2020,Q2,prakasam district,830709,32255276
india,andhra-pradesh,2020,Q2,anantapur district,1076953,39704703
india,andhra-pradesh,2020,Q2,kurnool district,1035093,36268390
india,andhra-pradesh,2020,Q2,guntur district,1426271,44267596
india,andhra-pradesh,2020,Q2,krishna district,1459041,41234166
india,andhra-pradesh,2020,Q2,spsr nellore district,854459,30816403
india,andhra-pradesh,2020,Q2,vizianagaram district,537798,24370380
india,andhra-pradesh,2020,Q2,ysr district,796769,29644037
india,andhra-pradesh,2020,Q2,west godavari district,944829,26583613
india,andhra-pradesh,2020,Q2,chittoor district,1385916,49820171
india,andhra-pradesh,2020,Q3,east godavari district,1601940,64292857
india,andhra-pradesh,2020,Q3,srikakulam district,667858,31794753
india,andhra-pradesh,2020,Q3,visakhapatnam district,2058346,102589371
india,andhra-pradesh,2020,Q3,prakasam district,915240,44970519
india,andhra-pradesh,2020,Q3,anantapur district,1186851,55714787
india,andhra-pradesh,2020,Q3,kurnool district,1132240,49164718
india,andhra-pradesh,2020,Q3,guntur district,1567595,62427501
india,andhra-pradesh,2020,Q3,krishna district,1599289,61028114
india,andhra-pradesh,2020,Q3,spsr nellore district,937176,43951448
india,andhra-pradesh,2020,Q3,vizianagaram district,587784,31199437
india,andhra-pradesh,2020,Q3,ysr district,877909,41578067
india,andhra-pradesh,2020,Q3,west godavari district,1053674,38126238
india,andhra-pradesh,2020,Q3,chittoor district,1506503,69462572
india,andhra-pradesh,2020,Q4,east godavari district,1746280,82605352
india,andhra-pradesh,2020,Q4,srikakulam district,726761,36770992
india,andhra-pradesh,2020,Q4,visakhapatnam district,2209658,124730170
india,andhra-pradesh,2020,Q4,prakasam district,999462,52839846
india,andhra-pradesh,2020,Q4,anantapur district,1295872,69562398
india,andhra-pradesh,2020,Q4,kurnool district,1230466,60615045
india,andhra-pradesh,2020,Q4,guntur district,1712940,81291172
india,andhra-pradesh,2020,Q4,krishna district,1744028,81787771
india,andhra-pradesh,2020,Q4,spsr nellore district,1022944,54765443
india,andhra-pradesh,2020,Q4,vizianagaram district,634462,35110885
india,andhra-pradesh,2020,Q4,ysr district,959182,49596303
india,andhra-pradesh,2020,Q4,west godavari district,1163179,51170162
india,andhra-pradesh,2020,Q4,chittoor district,1631331,88232999
india,andhra-pradesh,2021,Q1,east godavari district,1878769,91478749
india,andhra-pradesh,2021,Q1,srikakulam district,782604,40590058
india,andhra-pradesh,2021,Q1,visakhapatnam district,2368081,135908324
india,andhra-pradesh,2021,Q1,prakasam district,1075936,56911479
india,andhra-pradesh,2021,Q1,anantapur district,1394849,73375049
india,andhra-pradesh,2021,Q1,kurnool district,1323411,65326230
india,andhra-pradesh,2021,Q1,guntur district,1843237,92731167
india,andhra-pradesh,2021,Q1,krishna district,1876458,92941553
india,andhra-pradesh,2021,Q1,spsr nellore district,1100541,60691988
india,andhra-pradesh,2021,Q1,vizianagaram district,681621,37752539
india,andhra-pradesh,2021,Q1,ysr district,1032689,53525815
india,andhra-pradesh,2021,Q1,west godavari district,1254117,57392671
india,andhra-pradesh,2021,Q1,chittoor district,1751420,99083825
india,andhra-pradesh,2021,Q2,east godavari district,2006272,84705076
india,andhra-pradesh,2021,Q2,srikakulam district,837958,43740255
india,andhra-pradesh,2021,Q2,visakhapatnam district,2526830,114313154
india,andhra-pradesh,2021,Q2,prakasam district,1151232,76850749
india,andhra-pradesh,2021,Q2,anantapur district,1492738,104568606
india,andhra-pradesh,2021,Q2,kurnool district,1415585,81894678
india,andhra-pradesh,2021,Q2,guntur district,1968681,88248064
india,andhra-pradesh,2021,Q2,krishna district,2002662,85771678
india,andhra-pradesh,2021,Q2,spsr nellore district,1176334,74049216
india,andhra-pradesh,2021,Q2,vizianagaram district,729509,42684475
india,andhra-pradesh,2021,Q2,ysr district,1103004,72255265
india,andhra-pradesh,2021,Q2,west godavari district,1339377,65118788
india,andhra-pradesh,2021,Q2,chittoor district,1870723,110505432
india,andhra-pradesh,2021,Q3,east godavari district,2150622,103626560
india,andhra-pradesh,2021,Q3,srikakulam district,902008,48622126
india,andhra-pradesh,2021,Q3,visakhapatnam district,2707931,139540800
india,andhra-pradesh,2021,Q3,prakasam district,1239147,91533813
india,andhra-pradesh,2021,Q3,anantapur district,1606735,124985545
india,andhra-pradesh,2021,Q3,kurnool district,1522196,101210508
india,andhra-pradesh,2021,Q3,guntur district,2110878,106621413
india,andhra-pradesh,2021,Q3,krishna district,2145423,104358295
india,andhra-pradesh,2021,Q3,spsr nellore district,1263550,90102349
india,andhra-pradesh,2021,Q3,vizianagaram district,784444,46277311
india,andhra-pradesh,2021,Q3,ysr district,1183377,86369956
india,andhra-pradesh,2021,Q3,west godavari district,1436576,80244808
india,andhra-pradesh,2021,Q3,chittoor district,2007011,135043395
india,andhra-pradesh,2021,Q4,east godavari district,2294347,142536856
india,andhra-pradesh,2021,Q4,srikakulam district,965335,61654215
india,andhra-pradesh,2021,Q4,visakhapatnam district,2888774,188757640
india,andhra-pradesh,2021,Q4,prakasam district,1325728,86410317
india,andhra-pradesh,2021,Q4,anantapur district,1719437,120768682
india,andhra-pradesh,2021,Q4,kurnool district,1628242,97379271
india,andhra-pradesh,2021,Q4,guntur district,2252443,130920743
india,andhra-pradesh,2021,Q4,krishna district,2288148,134436469
india,andhra-pradesh,2021,Q4,spsr nellore district,1349290,90814672
india,andhra-pradesh,2021,Q4,vizianagaram district,839606,56101822
india,andhra-pradesh,2021,Q4,ysr district,1262963,83534122
india,andhra-pradesh,2021,Q4,west godavari district,1532898,100007280
india,andhra-pradesh,2021,Q4,chittoor district,2141818,154395512
india,andhra-pradesh,2022,Q1,east godavari district,2432305,87134562
india,andhra-pradesh,2022,Q1,srikakulam district,1027283,46691467
india,andhra-pradesh,2022,Q1,visakhapatnam district,3061324,88803090
india,andhra-pradesh,2022,Q1,prakasam district,1408929,104851997
india,andhra-pradesh,2022,Q1,anantapur district,1827094,155792533
india,andhra-pradesh,2022,Q1,kurnool district,1729513,119653214
india,andhra-pradesh,2022,Q1,guntur district,2387051,88844052
india,andhra-pradesh,2022,Q1,krishna district,2423373,85871644
india,andhra-pradesh,2022,Q1,spsr nellore district,1431664,101671767
india,andhra-pradesh,2022,Q1,vizianagaram district,892889,44804002
india,andhra-pradesh,2022,Q1,ysr district,1339782,98878499
india,andhra-pradesh,2022,Q1,west godavari district,1626039,87642475
india,andhra-pradesh,2022,Q1,chittoor district,2270705,144146671
india,andhra-pradesh,2022,Q2,east godavari district,2564165,93383888
india,andhra-pradesh,2022,Q2,srikakulam district,1086164,51087942
india,andhra-pradesh,2022,Q2,visakhapatnam district,3226029,93552701
india,andhra-pradesh,2022,Q2,prakasam district,1487589,108172758
india,andhra-pradesh,2022,Q2,anantapur district,1928213,181499094
india,andhra-pradesh,2022,Q2,kurnool district,1825280,136447455
india,andhra-pradesh,2022,Q2,guntur district,2514794,91997209
india,andhra-pradesh,2022,Q2,krishna district,2552107,95341487
india,andhra-pradesh,2022,Q2,spsr nellore district,1509927,108755384
india,andhra-pradesh,2022,Q2,vizianagaram district,943242,50230853
india,andhra-pradesh,2022,Q2,ysr district,1412848,106157470
india,andhra-pradesh,2022,Q2,west godavari district,1714357,103338893
india,andhra-pradesh,2022,Q2,chittoor district,2392549,158771722
india,andhra-pradesh,2022,Q3,east godavari district,2702234,85780890
india,andhra-pradesh,2022,Q3,srikakulam district,1147016,46323107
india,andhra-pradesh,2022,Q3,visakhapatnam district,3397514,87888969
india,andhra-pradesh,2022,Q3,prakasam district,1567520,114185009
india,andhra-pradesh,2022,Q3,anantapur district,2030824,181038520
india,andhra-pradesh,2022,Q3,kurnool district,1924127,143715547
india,andhra-pradesh,2022,Q3,guntur district,2647100,91146114
india,andhra-pradesh,2022,Q3,krishna district,2685215,86220959
india,andhra-pradesh,2022,Q3,spsr nellore district,1588875,105928407
india,andhra-pradesh,2022,Q3,vizianagaram district,995141,46767889
india,andhra-pradesh,2022,Q3,ysr district,1487140,107976611
india,andhra-pradesh,2022,Q3,west godavari district,1805967,97509407
india,andhra-pradesh,2022,Q3,chittoor district,2517657,162524274
india,andhra-pradesh,2022,Q4,east godavari district,2835087,173720880
india,andhra-pradesh,2022,Q4,srikakulam district,1204785,72666058
india,andhra-pradesh,2022,Q4,visakhapatnam district,3566854,208604256
india,andhra-pradesh,2022,Q4,prakasam district,1642503,94432083
india,andhra-pradesh,2022,Q4,anantapur district,2128066,136685634
india,andhra-pradesh,2022,Q4,kurnool district,2018290,105333688
india,andhra-pradesh,2022,Q4,guntur district,2774365,144773169
india,andhra-pradesh,2022,Q4,krishna district,2813645,156902257
india,andhra-pradesh,2022,Q4,spsr nellore district,1663684,103101986
india,andhra-pradesh,2022,Q4,vizianagaram district,1044490,64406405
india,andhra-pradesh,2022,Q4,ysr district,1556901,93975668
india,andhra-pradesh,2022,Q4,west godavari district,1893310,129116752
india,andhra-pradesh,2022,Q4,chittoor district,2636036,189655966
india,arunachal-pradesh,2018,Q1,lower subansiri district,498,0
india,arunachal-pradesh,2018,Q1,tirap district,557,0
india,arunachal-pradesh,2018,Q1,papum pare district,7649,0
india,arunachal-pradesh,2018,Q1,anjaw district,278,0
india,arunachal-pradesh,2018,Q1,lower siang district,270,0
india,arunachal-pradesh,2018,Q1,dibang valley district,66,0
india,arunachal-pradesh,2018,Q1,west kameng district,2202,0
india,arunachal-pradesh,2018,Q1,shi yomi district,49,0
india,arunachal-pradesh,2018,Q1,east kameng district,222,0
india,arunachal-pradesh,2018,Q1,lohit district,1207,0
india,arunachal-pradesh,2018,Q1,lepa rada district,210,0
india,arunachal-pradesh,2018,Q1,lower dibang valley district,601,0
india,arunachal-pradesh,2018,Q1,longding district,256,0
india,arunachal-pradesh,2018,Q1,west siang district,846,0
india,arunachal-pradesh,2018,Q1,kamle district,22,0
india,arunachal-pradesh,2018,Q1,upper siang district,301,0
india,arunachal-pradesh,2018,Q1,kurung kumey district,97,0
india,arunachal-pradesh,2018,Q1,siang district,192,0
india,arunachal-pradesh,2018,Q1,kra daadi district,88,0
india,arunachal-pradesh,2018,Q1,changlang district,1208,0
india,arunachal-pradesh,2018,Q1,pakke kessang district,39,0
india,arunachal-pradesh,2018,Q1,east siang district,1803,0
india,arunachal-pradesh,2018,Q1,upper subansiri district,572,0
india,arunachal-pradesh,2018,Q1,tawang district,1525,0
india,arunachal-pradesh,2018,Q1,namsai district,737,0
