country,state,year,quarter,transaction_type,transaction_count,total_amount
India,andaman-&-nicobar-islands,2021,Q4,Peer-to-peer payments,285778,1544932663
India,andaman-&-nicobar-islands,2021,Q4,Merchant payments,210164,322842314
India,andaman-&-nicobar-islands,2021,Q4,Recharge & bill payments,135608,59243518
India,andaman-&-nicobar-islands,2021,Q4,Financial Services,1718,3137965
India,andaman-&-nicobar-islands,2021,Q4,Others,2855,2453640
India,andaman-&-nicobar-islands,2022,Q1,Peer-to-peer payments,342649,1682328505
India,andaman-&-nicobar-islands,2022,Q1,Merchant payments,284298,370091558
India,andaman-&-nicobar-islands,2022,Q1,Recharge & bill payments,163401,71300133
India,andaman-&-nicobar-islands,2022,Q1,Financial Services,1757,2869682
India,andaman-&-nicobar-islands,2022,Q1,Others,2643,2440321
India,andaman-&-nicobar-islands,2022,Q2,Merchant payments,449540,510838980
India,andaman-&-nicobar-islands,2022,Q2,Peer-to-peer payments,437606,2088309073
India,andaman-&-nicobar-islands,2022,Q2,Recharge & bill payments,179515,82232936
India,andaman-&-nicobar-islands,2022,Q2,Financial Services,1448,2089862
India,andaman-&-nicobar-islands,2022,Q2,Others,3108,2449496
India,andaman-&-nicobar-islands,2022,Q3,Merchant payments,716105,693438186
India,andaman-&-nicobar-islands,2022,Q3,Peer-to-peer payments,622217,2514535154
India,andaman-&-nicobar-islands,2022,Q3,Recharge & bill payments,240766,97748065
India,andaman-&-nicobar-islands,2022,Q3,Financial Services,1814,2166304
India,andaman-&-nicobar-islands,2022,Q3,Others,3477,2744060
India,andaman-&-nicobar-islands,2022,Q4,Merchant payments,956536,906365300
India,andaman-&-nicobar-islands,2022,Q4,Peer-to-peer payments,768758,2961630584
India,andaman-&-nicobar-islands,2022,Q4,Recharge & bill payments,256050,110037119
India,andaman-&-nicobar-islands,2022,Q4,Financial Services,2499,3533987
India,andaman-&-nicobar-islands,2022,Q4,Others,3692,3107412
India,andhra-pradesh,2018,Q1,Recharge & bill payments,5027448,892293975
